2A03-01,0,,IORT,3
2A01-01,0,,IORT,4
1A01-01,0,,IORT,1
1A01-09,1,,IORT,1
1B01-01,0,,IORT,4
1A02-01,1,,IORT,0
7A01-01,0,,IORT,4
1C05-01,0,,IORT,3
1C06-02,1,,IORT,3
1C06-03,1,,IORT,0
1C06-04,1,,IORT,0
1C06-05,1,,IORT,0
1D02-01,1,,IORT,99
1D02-03,0,,IORT,2
1E01-01,0,,IORT,2
1E01-02,0,,IORT,2
1E01-04,0,,IORT,0
1E01-05,0,,IORT,0
1E01-06,0,,IORT,2
1E01-07,0,,IORT,2
1E01-08,0,,IORT,2
1E01-09,0,,IORT,2
1E01-10,0,,IORT,2
1E01-11,0,,IORT,2
1E01-12,0,,IORT,0
1E01-13,0,,IORT,4
1E01-16,0,,IORT,4
1F01-01,0,,IORT,0
1F02-01,0,,IORT,4
1F03-01,0,,IORT,4
1F04-01,0,,IORT,4
1B01-04,0,,IORT,3
1B01-06,0,,IORT,3
1B01-08,0,,IORT,4
1B01-10,0,,IORT,4
1B01-13,0,,IORT,4
1B02-01,0,,IORT,3
1B03-01,0,,IORT,3
1B04-01,0,,IORT,3
1B05-01,0,,IORT,4
1B08-01,0,,IORT,3
1B09-01,0,,IORT,4
1C03-01,0,,IORT,4
1C04-01,0,,IORT,3
1C01-01,0,,IORT,0
1C01-05,0,,IORT,0
1C02-01,0,,IORT,0
2C01-01,0,,IORT,4
2C03-01,0,,IORT,3
2E03-01,0,,IORT,3
2E03-02,0,,IORT,3
3A01-04,1,,IORT,4
3A01-05,0,,IORT,3
3B01-01,0,,IORT,3
4A01-01,0,,IORT,4
4A01-04,0,,IORT,3
4A01-06,0,,IORT,3
4A01-08,0,,IORT,3
4A02-01,0,,IORT,4
4A03-01,0,,IORT,4
4C01-04,0,,IORT,4
4D02-01,1,,IORT,3
4D02-04,0,,IORT,4
4D02-06,0,,IORT,3
4D02-08,0,,IORT,3
4D02-11,0,,IORT,3
7A01-04,0,,IORT,3
7A01-06,0,,IORT,3
7A01-08,0,,IORT,3
7B01-01,0,,IORT,4
7B02-01,0,,IORT,3
7B02-06,0,,IORT,3
7B04-01,0,,IORT,4
7B05-01,0,,IORT,3
7B06-01,0,,IORT,3
7B07-01,0,,IORT,3
8A01-01,0,,IORT,4
8C01-01,0,,IORT,3
8C02-01,0,,IORT,4
